caller,callee,file,verified,correct,notes
real_benchmarks/django/django/db/backends/sqlite3/schema.py::DatabaseSchemaEditor._alter_field,many_to_many.remote_field,real_benchmarks/django/django/db/backends/sqlite3/schema.py,,,
real_benchmarks/django/django/utils/text.py::Truncator._text_words,len,real_benchmarks/django/django/utils/text.py,,,
real_benchmarks/django/django/db/models/fields/files.py::FileField.check,"Call(func=Name(id='super', ctx=Load()), args=[], keywords=[]).check",real_benchmarks/django/django/db/models/fields/files.py,,,
real_benchmarks/django/django/utils/cache.py::dictitem,lower,real_benchmarks/django/django/utils/cache.py,,,
real_benchmarks/django/django/db/models/fields/related.py::ForeignKey.check,ForeignKey._check_unique,real_benchmarks/django/django/db/models/fields/related.py,,,
real_benchmarks/django/django/contrib/gis/db/backends/postgis/pgraster.py::to_pgraster,rast.bands,real_benchmarks/django/django/contrib/gis/db/backends/postgis/pgraster.py,,,
real_benchmarks/django/django/db/models/query.py::QuerySet.__and__,isinstance,real_benchmarks/django/django/db/models/query.py,,,
real_benchmarks/django/django/db/models/fields/related.py::ForeignKey.__init__,to._meta.pk.name,real_benchmarks/django/django/db/models/fields/related.py,,,
real_benchmarks/django/django/db/models/fields/__init__.py::GenericIPAddressField.deconstruct,"Call(func=Name(id='super', ctx=Load()), args=[], keywords=[]).deconstruct",real_benchmarks/django/django/db/models/fields/__init__.py,,,
real_benchmarks/django/django/contrib/auth/models.py::GroupManager.get_by_natural_key,GroupManager.get,real_benchmarks/django/django/contrib/auth/models.py,,,
real_benchmarks/django/django/db/models/fields/related_descriptors.py::ManyRelatedManager._remove_prefetched_objects,rel.field.model,real_benchmarks/django/django/db/models/fields/related_descriptors.py,,,
real_benchmarks/django/django/contrib/auth/admin.py::GroupAdmin.formfield_for_manytomany,super,real_benchmarks/django/django/contrib/auth/admin.py,,,
real_benchmarks/django/django/template/defaultfilters.py::center,register.filter,real_benchmarks/django/django/template/defaultfilters.py,,,
real_benchmarks/django/django/forms/widgets.py::SelectDateWidget.format_value,match.groups,real_benchmarks/django/django/forms/widgets.py,,,
real_benchmarks/django/django/contrib/gis/utils/layermapping.py::LayerMapping.geometry_field,opts.get_field,real_benchmarks/django/django/contrib/gis/utils/layermapping.py,,,
real_benchmarks/django/django/db/backends/postgresql/schema.py::DatabaseSchemaEditor._alter_field,new_field.unique,real_benchmarks/django/django/db/backends/postgresql/schema.py,,,
real_benchmarks/django/django/db/models/functions/comparison.py::Coalesce.as_oracle,clone.set_source_expressions,real_benchmarks/django/django/db/models/functions/comparison.py,,,
real_benchmarks/django/django/db/models/fields/reverse_related.py::ManyToOneRel.get_related_field,ManyToOneRel.model._meta,real_benchmarks/django/django/db/models/fields/reverse_related.py,,,
real_benchmarks/django/django/middleware/csp.py::ContentSecurityPolicyMiddleware.process_response,settings.SECURE_CSP_REPORT_ONLY,real_benchmarks/django/django/middleware/csp.py,,,
real_benchmarks/django/django/template/defaulttags.py::load,register.tag,real_benchmarks/django/django/template/defaulttags.py,,,
real_benchmarks/django/django/contrib/gis/geos/linestring.py::LinearRing.is_counterclockwise,LinearRing._cs.is_counterclockwise,real_benchmarks/django/django/contrib/gis/geos/linestring.py,,,
real_benchmarks/django/django/core/files/storage/memory.py::InMemoryStorage._save,os.remove,real_benchmarks/django/django/core/files/storage/memory.py,,,
real_benchmarks/django/django/db/backends/base/creation.py::BaseDatabaseCreation._mark_test,setattr,real_benchmarks/django/django/db/backends/base/creation.py,,,
real_benchmarks/django/django/contrib/gis/gdal/datasource.py::DataSource.__getitem__,IndexError,real_benchmarks/django/django/contrib/gis/gdal/datasource.py,,,
real_benchmarks/django/django/contrib/gis/gdal/geometries.py::OGRGeometry.envelope,ctypes.byref,real_benchmarks/django/django/contrib/gis/gdal/geometries.py,,,
real_benchmarks/django/django/contrib/gis/db/models/fields.py::RasterField._check_connection,connection.features,real_benchmarks/django/django/contrib/gis/db/models/fields.py,,,
real_benchmarks/django/django/db/models/functions/text.py::Repeat.as_oracle,rpad.as_sql,real_benchmarks/django/django/db/models/functions/text.py,,,
real_benchmarks/django/django/forms/fields.py::FileField.__init__,FileField.max_length,real_benchmarks/django/django/forms/fields.py,,,
real_benchmarks/django/django/db/models/query.py::RawModelIterable.__iter__,fetch_mode.track_peers,real_benchmarks/django/django/db/models/query.py,,,
real_benchmarks/django/django/db/models/query.py::QuerySet.totally_ordered,exceptions.FieldDoesNotExist,real_benchmarks/django/django/db/models/query.py,,,
